,Stock,Features,Volatility,Percent Return,Win Rate,Accuracy Test,Total Dict,Selected Features,binarized
100,AZUL4.SA,3,0.753508859202774,7.05519999999995,46.15384615384615,0.328,"{'-1.0': {'precision': 0.5, 'recall': 0.11224489795918367, 'f1-score': 0.18333333333333332, 'support': 98.0}, '0.0': {'precision': 0.25, 'recall': 0.44776119402985076, 'f1-score': 0.32085561497326204, 'support': 67.0}, '1.0': {'precision': 0.37962962962962965, 'recall': 0.4823529411764706, 'f1-score': 0.42487046632124353, 'support': 85.0}, 'accuracy': 0.328, 'macro avg': {'precision': 0.37654320987654327, 'recall': 0.34745301105516835, 'f1-score': 0.3096864715426129, 'support': 250.0}, 'weighted avg': {'precision': 0.3920740740740741, 'recall': 0.328, 'f1-score': 0.3023119300287237, 'support': 250.0}}","['n_estimators', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
101,AZUL4.SA,4,0.753508859202774,-15.046387910000105,40.0,0.32,"{'-1.0': {'precision': 0.34615384615384615, 'recall': 0.09183673469387756, 'f1-score': 0.14516129032258066, 'support': 98.0}, '0.0': {'precision': 0.28346456692913385, 'recall': 0.5373134328358209, 'f1-score': 0.3711340206185567, 'support': 67.0}, '1.0': {'precision': 0.36082474226804123, 'recall': 0.4117647058823529, 'f1-score': 0.38461538461538464, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.33014771845034047, 'recall': 0.3469716244706838, 'f1-score': 0.3003035651855073, 'support': 250.0}, 'weighted avg': {'precision': 0.3343412240004496, 'recall': 0.32, 'f1-score': 0.2871363741014556, 'support': 250.0}}","['n_estimators', 'atr_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
102,AZUL4.SA,5,0.753508859202774,-1.5775926700000311,44.44444444444444,0.28,"{'-1.0': {'precision': 0.35, 'recall': 0.07142857142857142, 'f1-score': 0.11864406779661017, 'support': 98.0}, '0.0': {'precision': 0.24806201550387597, 'recall': 0.47761194029850745, 'f1-score': 0.32653061224489793, 'support': 67.0}, '1.0': {'precision': 0.3069306930693069, 'recall': 0.36470588235294116, 'f1-score': 0.3333333333333333, 'support': 85.0}, 'accuracy': 0.28, 'macro avg': {'precision': 0.3016642361910609, 'recall': 0.3045821313600067, 'f1-score': 0.2595026711249471, 'support': 250.0}, 'weighted avg': {'precision': 0.3080370557986031, 'recall': 0.28, 'f1-score': 0.2473520119912372, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
103,AZUL4.SA,6,0.753508859202774,-23.086,33.33333333333333,0.3,"{'-1.0': {'precision': 0.5, 'recall': 0.11224489795918367, 'f1-score': 0.18333333333333332, 'support': 98.0}, '0.0': {'precision': 0.23636363636363636, 'recall': 0.3880597014925373, 'f1-score': 0.2937853107344633, 'support': 67.0}, '1.0': {'precision': 0.3220338983050847, 'recall': 0.4470588235294118, 'f1-score': 0.3743842364532019, 'support': 85.0}, 'accuracy': 0.3, 'macro avg': {'precision': 0.352799178222907, 'recall': 0.31578780766037756, 'f1-score': 0.2838342935069995, 'support': 250.0}, 'weighted avg': {'precision': 0.3688369799691834, 'recall': 0.3, 'f1-score': 0.2778917703375915, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
104,AZUL4.SA,7,0.753508859202774,-22.087807810000047,36.0,0.292,"{'-1.0': {'precision': 0.4, 'recall': 0.061224489795918366, 'f1-score': 0.10619469026548672, 'support': 98.0}, '0.0': {'precision': 0.24347826086956523, 'recall': 0.417910447761194, 'f1-score': 0.30769230769230765, 'support': 67.0}, '1.0': {'precision': 0.325, 'recall': 0.4588235294117647, 'f1-score': 0.3804878048780488, 'support': 85.0}, 'accuracy': 0.292, 'macro avg': {'precision': 0.32282608695652176, 'recall': 0.31265282232295905, 'f1-score': 0.26479160094528104, 'support': 250.0}, 'weighted avg': {'precision': 0.3325521739130435, 'recall': 0.292, 'f1-score': 0.25345571070414585, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
105,AZUL4.SA,8,0.753508859202774,-10.181881660000036,44.0,0.332,"{'-1.0': {'precision': 0.5, 'recall': 0.09183673469387756, 'f1-score': 0.15517241379310345, 'support': 98.0}, '0.0': {'precision': 0.2616822429906542, 'recall': 0.417910447761194, 'f1-score': 0.3218390804597701, 'support': 67.0}, '1.0': {'precision': 0.368, 'recall': 0.5411764705882353, 'f1-score': 0.43809523809523804, 'support': 85.0}, 'accuracy': 0.332, 'macro avg': {'precision': 0.37656074766355135, 'recall': 0.35030788434776894, 'f1-score': 0.30503557744937054, 'support': 250.0}, 'weighted avg': {'precision': 0.39125084112149533, 'recall': 0.332, 'f1-score': 0.29603284072249586, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
106,AZUL4.SA,9,0.753508859202774,20.50788519,50.0,0.328,"{'-1.0': {'precision': 0.42105263157894735, 'recall': 0.08163265306122448, 'f1-score': 0.13675213675213674, 'support': 98.0}, '0.0': {'precision': 0.2677165354330709, 'recall': 0.5074626865671642, 'f1-score': 0.35051546391752575, 'support': 67.0}, '1.0': {'precision': 0.38461538461538464, 'recall': 0.47058823529411764, 'f1-score': 0.42328042328042326, 'support': 85.0}, 'accuracy': 0.328, 'macro avg': {'precision': 0.35779485054246757, 'recall': 0.3532278583075021, 'f1-score': 0.3035160079833619, 'support': 250.0}, 'weighted avg': {'precision': 0.36756989384424116, 'recall': 0.328, 'f1-score': 0.29146032585207843, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
107,AZUL4.SA,10,0.753508859202774,-11.263487629999965,44.44444444444444,0.296,"{'-1.0': {'precision': 0.4166666666666667, 'recall': 0.10204081632653061, 'f1-score': 0.16393442622950824, 'support': 98.0}, '0.0': {'precision': 0.2558139534883721, 'recall': 0.4925373134328358, 'f1-score': 0.336734693877551, 'support': 67.0}, '1.0': {'precision': 0.31958762886597936, 'recall': 0.36470588235294116, 'f1-score': 0.3406593406593406, 'support': 85.0}, 'accuracy': 0.296, 'macro avg': {'precision': 0.3306894163403394, 'recall': 0.3197613373707692, 'f1-score': 0.2804428202554666, 'support': 250.0}, 'weighted avg': {'precision': 0.34055126668265007, 'recall': 0.296, 'f1-score': 0.2703313688653267, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
108,AZUL4.SA,11,0.753508859202774,6.611600329999964,44.44444444444444,0.32,"{'-1.0': {'precision': 0.5, 'recall': 0.12244897959183673, 'f1-score': 0.19672131147540983, 'support': 98.0}, '0.0': {'precision': 0.24545454545454545, 'recall': 0.40298507462686567, 'f1-score': 0.3050847457627119, 'support': 67.0}, '1.0': {'precision': 0.35344827586206895, 'recall': 0.4823529411764706, 'f1-score': 0.4079601990049751, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.3663009404388715, 'recall': 0.3359289984650577, 'f1-score': 0.30325541874769896, 'support': 250.0}, 'weighted avg': {'precision': 0.38195423197492157, 'recall': 0.32, 'f1-score': 0.29758393362445895, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window']",0
109,AZUL4.SA,12,0.753508859202774,-21.76299957000008,31.57894736842105,0.328,"{'-1.0': {'precision': 0.5, 'recall': 0.04081632653061224, 'f1-score': 0.07547169811320753, 'support': 98.0}, '0.0': {'precision': 0.291970802919708, 'recall': 0.5970149253731343, 'f1-score': 0.39215686274509803, 'support': 67.0}, '1.0': {'precision': 0.3619047619047619, 'recall': 0.4470588235294118, 'f1-score': 0.4, 'support': 85.0}, 'accuracy': 0.328, 'macro avg': {'precision': 0.3846251882748233, 'recall': 0.3616300251443861, 'f1-score': 0.28920952028610186, 'support': 250.0}, 'weighted avg': {'precision': 0.3972957942301008, 'recall': 0.328, 'f1-score': 0.27068294487606365, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']",0
